"species","x","y"
"Solanum acaule Bitter",-66.1,-21.9
"Solanum acaule Bitter",-71,-13.5
"Solanum acaule Bitter",-66.43,-24.22
"Solanum acaule Bitter",-72.07,-13.35
"Solanum acaule Bitter",-68.97,-15.23
"Solanum acaule Bitter",-64.95,-17.75
"Solanum acaule Bitter",-65.42,-19.55
"Solanum acaule Bitter",-64.67,-19.25
"Solanum acaule Bitter",-68.77,-17.12
"Solanum acaule Bitter",-65.63,-23.68
"Solanum acaule Bitter",-65.17,-19
"Solanum acaule Bitter",-66,-17.42
"Solanum acaule Bitter",-68.97,-15.23
"Solanum acaule Bitter",-67.13,-16.88
"Solanum acaule Bitter",-66.08,-17.37
"Solanum acaule Bitter",-66.13,-17.38
"Solanum acaule Bitter",-65.25,-19.18
"Solanum acaule Bitter",-66.65,-17.62
"Solanum acaule Bitter",-68.85,-17.42
"Solanum acaule Bitter",-68.03,-16.37
"Solanum acaule Bitter",-71.62,-13.68
"Solanum acaule Bitter",-68.12,-16.22
"Solanum acaule Bitter",-65.75,-19.58
"Solanum acaule Bitter",-66.13,-17.38
"Solanum acaule Bitter",-71.33,-15
"Solanum acaule Bitter",-65.63,-23.68
"Solanum acaule Bitter",-67,-18.2
"Solanum acaule Bitter",-65.23,-21.8
"Solanum acaule Bitter",-68.6,-17.17
"Solanum acaule Bitter",-68.97,-15.25
"Solanum acaule Bitter",-66.24,-22.9
"Solanum acaule Bitter",-67.47,-16.87
"Solanum acaule Bitter",-71.03,-13.48
"Solanum acaule Bitter",-67.3,-17.05
"Solanum acaule Bitter",-65.27,-22.23
"Solanum acaule Bitter",-68.65,-17.07
"Solanum acaule Bitter",-68,-17
"Solanum acaule Bitter",-68.62,-15.92
"Solanum acaule Bitter",-65.28,-22.89
"Solanum acaule Bitter",-65.23,-21.8
"Solanum acaule Bitter",-66.13,-17.38
"Solanum acaule Bitter",-68.8,-16.23
"Solanum acaule Bitter",-68.67,-16.55
"Solanum acaule Bitter",-72.5,-12.5
"Solanum acaule subsp. acaule",-66.65,-17.616667
"Solanum acaule subsp. acaule",-65.75,-19.583334
"Solanum acaule subsp. acaule",-68.76667,-17.116667
"Solanum acaule subsp. acaule",-68.666664,-17.05
"Solanum acaule subsp. acaule",-68.6,-17.016666
